8
13
LIECTENSTEIN SWITZERLAND
SWITZERLAND AUSTRIA
AUSTRIA LIECTENSTEIN
ITALY SWITZERLAND
SWITZERLAND FRANCE
FRANCE ITALY
ITALY OCEAN
OCEAN FRANCE
AUSTRIA SLOVENIA
SLOVENIA OCEAN
GERMANY AUSTRIA
GERMANY SWITZERLAND
OCEAN GERMANY
7
OCEAN ONE
ONE TWO
TWO THREE
THREE FOUR
FOUR FIVE
FIVE SIX
SIX OCEAN
13
VALE CROWNLANDS
WESTERLAND REACH
REACH STORMLANDS
OCEAN DORNE
STORMLANDS DORNE
RIVERLANDS WESTERLAND
RIVERLANDS NORTH
OCEAN VALE
OCEAN CROWNLANDS
WESTERLAND OCEAN
CROWNLANDS RIVERLANDS
RIVERLANDS OCEAN
REACH OCEAN
7
EARTH WIND
WATER FIRE
FIRE WIND
OCEAN WATER
FIRE EARTH
WATER EARTH
WIND WATER
12
UWOIDXTMBNHLGKY EWBRFYVSLXHCPZO
PATXESCLNRDZKOH POFUTSKRCGEAWVX
PWAYIKQGSLOCHXF OCEAN
JOSHFDZWGMNCAIT PATXESCLNRDZKOH
HUFDAYCSXNTGOVL IBTOLSZQXGWYEMC
JOSHFDZWGMNCAIT PWAYIKQGSLOCHXF
HUFDAYCSXNTGOVL ECBDGIVNLQPMWYF
JOSHFDZWGMNCAIT OCEAN
UWOIDXTMBNHLGKY POFUTSKRCGEAWVX
IBTOLSZQXGWYEMC DOXNAZGCLWBERTS
EWBRFYVSLXHCPZO ECBDGIVNLQPMWYF
OCEAN DOXNAZGCLWBERTS
102
JIBGFHNZTMSXWPL OYRPDJULQHWTVCI
MBKPWQOGJINSCTH FPVAJNEHMSYUTLO
TSZMOFEHPYINXJL KLSMIBWEHJTGDFU
LOBMPESNRAVZDWI FTOMNUKCDRPLYBI
AREWUTJVKIYOFHL ANWQEDSRKVOMLIG
VDRJKOYLXQENSWG CGODWUVBTRNHLMP
LCDOEHFXAVQRIGS RNYDXLUPEIBCQVM
CSTIQPDLNFZBGHY BFQLIJVTNAZWYKE
OWUHMDXLCYTSEAN TSZMOFEHPYINXJL
RUMLWOSJTYKQEBI JSXELHANVWROTDY
WNIAXPOVUZEHYQF TFMRKLVBCNGQOHX
IBSQJVFCPOAHWTE PVFWZJMGKCILROX
