4
4 2
Kat - Bob
Bob - Jill
Max - Jill
Max NOT Mike
Bob Jill
Max Jill
6 4
Kat - Micheal
Kat - Steven
Natalie - Kat
Josh - Natalie
Steven - Josh
Micheal - Nayka
Steven Josh
Natalie Nayka
Nayka Josh
Bob Jill
26 7
Kat NOT bla
Dorm NOT A
Alexa NOT Yike
Kat - Mike
Kat - Amelia
Kat - Raph
Kat - Lydia
Kat - John
Kat - Braden
Alexa - Braden
Alexa - Z
Alexa - Dorm
E - Dorm
Norm - E
Dorm - Preslie
Mike - Preslie
Norm - Sam
Sam - Amelia
Raph - Guyel
Guyel - Yike
Chad - Guyel
Lydia - Chad
T - Chad
A - T
A - Alex
Alex - John
Sam Z
E T
Preslie Yike
Braden Mike
Norm A
John Chad
Zoomba LilUzi
42 11
CJ - Kat
Collin - Kat
Grayson - Sebastian
Cent -  Sebastian
Greg - Brother
Lmoney - Greg
Madysen - Greg
Angel - Greg
Ace - Angel
Angle - Ace
Palmer - Angle
Palmer - Zpop
Palmer - Adam
Adam - CJ
Steep - Adam
Degree - Steep
Henry - Kat
Tyrone - Henry
Ninja - Tyrone
Degree - Ninja
Tyrone - Micheal
Tina - Micheal
Tina - Pops
Young - Lan
Micheal - Young
Jordan - Kat
Robert - Jordan
Shoes - Robert
Yard - Shoes
Yard - Von
Jon - Shoes
Kat - Tyler
Tyler - Sam
Sam - Olivia
Collin - Madysen
Kat - Grayson
Brother - Locker
Locker - Sebastian
Degree NOT Zpop
Ace NOT Jon
Cent NOT Henry
Tyrone NOT Brother
Degree Locker
Lmoney Robert
Collin CJ
Ninja Young
Lan Ace
Zpop Sam
Locker Cent
Madysen Adam
Tyrone Palmer
Von Jon
Ike Door
