12
6
ATAC 0 6 600
DBES 1 4 300
SAA 3 5 100
ACIS 5 7 300
Powell 5 9 500
MedTac 7 8 100
4
BWW 1 3 400
TYA 4 7 500
UNTAS 2 6 700
GHT 7 10 100
3
A 0 4 30
B 4 8 50
C 1 7 70
3
A 0 4 30
B 4 8 50
C 1 7 80
3
A 0 4 30
B 4 8 50
C 1 10 80
3
A 0 4 30
B 4 8 50
C 1 9 80
3
A 1 4 30
B 4 9 50
C 0 8 80
3
C 0 8 80
A 0 4 30
B 4 8 50
10
A 0 3 40
B 1 3 30
C 2 6 50
D 1 7 80
E 6 8 30
F 9 11 1
G 8 11 40
H 10 12 30
I 12 15 40
J 6 10 60
15
A 0 3 40
B 1 3 30
C 2 6 50
D 1 7 80
E 6 8 30
F 9 11 1
G 8 11 40
H 10 12 30
I 12 15 40
J 6 10 60
K 3 7 65
L 0 4 58
M 3 9 90
N 6 7 30
O 10 12 40
20
A 0 3 40
B 1 3 30
C 2 6 50
D 1 7 80
E 6 8 30
F 9 11 1
G 8 11 40
H 10 12 30
I 12 15 40
J 6 10 60
K 3 7 65
L 0 4 58
M 3 9 90
N 6 7 30
O 10 12 40
P 10 14 65
Q 11 13 40
R 15 17 40
S 0 1 25
T 4 8 80
25
A 0 3 40
B 1 3 30
C 2 6 50
D 1 7 80
E 6 8 30
F 9 11 1
G 8 11 40
H 10 12 30
I 12 15 40
J 6 10 60
K 3 7 65
L 0 4 58
M 3 9 90
N 6 7 30
O 10 12 40
P 10 14 65
Q 11 13 40
R 15 17 40
S 0 1 25
T 4 8 80
U 2 8 110
V 11 15 70
W 7 12 150
X 0 7 40
Y 3 8 85
