DATASET 5 
4 Dallas Austin Houston SanAntonio
Dallas SanAntonio 275
Dallas Houston 238
SanAntonio Austin 79
Houston Austin 162
DATASET 2 
2 MyHouse YourHouse
MyHouse YourHouse 1
DATASET 4 
3 MyHouse YourHouse Somewhere
MyHouse YourHouse 300
YourHouse Somewhere 100
MyHouse Somewhere 100
DATASET 10
9 A I B C D E F G H
A I 1000
A B 125
B C 125
C D 125
D E 125
E F 125
F G 125
G H 125
H I 124
DATASET 10
5 A D B C E
A B 2
A C 2
A E 1
B C 2
B D 2
B E 1
C D 2
C E 1
D E 1
DATASET 8
6 F A E C D B
C B 3
B A 3
C A 7
F E 3
E D 3
F D 5
C D 3
DATASET 3
3 Left Middle Right
Left Middle 1
Middle Right 1
