Radius: 0.7, Distance: 10.6, Rotations: 2.4
Radius: 5.3, Distance: 426.6, Rotations: 12.8
Radius: 4.3, Distance: 426.6, Rotations: 15.8
Radius: 7.5, Distance: 1000.0, Rotations: 21.2
Radius: 10.0, Distance: 50.0, Rotations: 0.8
Radius: 1.2, Distance: 753.6, Rotations: 100.0
Radius: 4.6, Distance: 0.5, Rotations: 0.0
Radius: 1.0, Distance: 250.0, Rotations: 39.8
Radius: 2.0, Distance: 2.0, Rotations: 0.2
Radius: 3.0, Distance: 9.3, Rotations: 0.5
Radius: 7.7, Distance: 726.7, Rotations: 15.0
Radius: 0.1, Distance: 628.0, Rotations: 1000.0

