15
322525 -803
353839 23923
484595 409439
999999 100000
923884 283923
002305 82385
103592 -9239
268358 190909
039842 87352
352920 58285
235235 2948234
000102 28523
253093 -123
111111 100000
325001 32952
C 268358 10293
D 322525 35252
D 353839 45823
D 999999 34265
D 111111 23253
D 353839 23455
C 923884 382942
D 268358 5000
D 111111 253998
D 999999 23523
D 322525 5000
D 039842 43985
C 923884 24353
D 268358 19382
C 039842 12342
D 322525 19203
C 923884 32523
D 352920 85492
D 999999 235234
C 268358 1092
D 039842 3886
D 268358 28345
C 322525 92385
D 999999 235235
C 111111 23902
C 923884 23423
D 353839 32523
C 353839 123952
D 111111 23528
D 039842 28342
D 999999 235235
C 103592 29395
D 353839 90934
D 039842 23482
D 322525 23852
C 353839 2535
D 999999 23243
C 268358 17398
C 322525 2359
D 353839 83499

