22 13
Sam Armstrong Ben Davis
Ben Davis Wesley Chart
Sam Armstrong Danny Vunt
Ben Davis Ariel Hatley
Ariel Hatley David Smith
David Smith Johhny Blaze
Johnny Blaze Danny Vunt
Johhny Blaze Eric Chan
Eric Chan Dylan Rhodes
Dylan Rhodes Abraham Lincoln
Abraham Lincoln Teddy Roosevelt
Teddy Roosevelt Jeb Bush
Jeb Bush Sam Armstrong
Jeb Bush Harry Potter
A A B B
B B C C
C C A A
D D E E
E E F F
F F G G
H H I I
I I J J
Ben Davis
Ariel Hatley
B B
G G
Harry Potter
Dylan Rhodes
E E
Abraham Lincoln
Johnny Blaze
Ben Davis
Danny Vunt
H H
C C
